Position,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams
772,MadeinTYO ,Uber Everywhere,294,0.0,32,0,397437,68560327
773,Taylor Swift ,cardigan,152,15.0,1,(x6),3937822,68550662
774,Fetty Wap ,My Way,293,8.0,10,0,449305,68534872
775,Neon Trees ,Everybody Talks,304,0.0,114,0,255596,68460789
776,Taylor Swift ,You're On Your Own Kid,67,18.0,5,0,6074375,68091952
777,Ariana Grande ,boyfriend,120,19.0,1,(x1),2080337,68075759
778,Mustard ,Baguettes in the Face,182,0.0,32,0,579774,68006179
779,Ella Mai ,Boo'd Up,192,0.0,24,0,737115,67988376
780,WILLOW ,t r a n s p a r e n t s o u l feat. Travis Barker,179,0.0,19,0,691053,67979967
781,Beyoncé ,7/11,455,15.0,9,0,343149,67910109
782,Trippie Redd ,Topanga,161,2.0,10,0,1161478,67871555
783,Post Malone ,Spoil My Night,120,14.0,3,(x1),3318588,67636137
784,Tay,K  The Race,221,0.0,33,0,564819,67561106
785,Clairo ,Sofia,215,0.0,25,0,501578,67460841
786,Taylor Swift ,Lover,129,21.0,1,(x7),2639428,67263883
787,Halsey ,You should be sad,133,1.0,10,0,1186977,67248866
788,Meghan Trainor ,All About That Bass,291,94.0,1,(x34),550471,67151753
789,Rihanna ,Btch Better Have My Money,362,4.0,6,0,437640,67108696
790,Justin Bieber ,Yummy,118,15.0,2,(x2),1863557,66838785
791,Megan Thee Stallion ,Cash Sht,228,0.0,56,0,395408,66804083
792,Megan Thee Stallion ,Savage,147,22.0,8,0,876040,66785378
793,Future ,Selfish,159,0.0,21,0,689625,66567231
794,Taylor Swift ,Snow On The Beach,66,14.0,3,(x1),6719156,66545287
795,One Direction ,Drag Me Down,234,27.0,1,(x1),1172195,66521288
796,Lil Tecca ,Did It Again,164,0.0,18,0,715007,66171892
797,Ellie Goulding ,On My Mind,204,18.0,8,0,564148,66115839
798,Justin Bieber ,Hold On,145,9.0,3,(x3),1387228,66083944
799,Old Dominion ,One Man Band,248,0.0,63,0,380219,66055536
800,Morgan Wallen ,Somebody’s Problem,170,13.0,2,(x1),1344731,65697045
801,Justin Bieber ,Anyone,145,11.0,1,(x3),1054190,65472657
802,Nicki Minaj ,Only,404,48.0,5,0,410679,65470534
803,2 Chainz ,4 AM,195,0.0,19,0,674422,65418520
804,Ella Mai ,Trip,196,0.0,35,0,590514,65368178
805,Chris Brown ,Under The Influence,142,0.0,21,0,641846,65353666
806,Florida Georgia Line ,H.O.L.Y.,304,0.0,48,0,349143,64970810
807,J. Cole ,p r i d e . i s . t h e . d e v i l,157,7.0,2,(x1),3545460,64787724
808,The Weeknd ,In Your Eyes,150,10.0,3,(x4),2005612,64759227
809,Kodak Black ,Transportin',209,0.0,30,0,567313,64739053
810,Bazzi ,I.F.L.Y.,202,0.0,26,0,544234,64730494
811,Taylor Swift ,Bejeweled,67,18.0,8,0,5096200,64685828
812,Brett Young ,In Case You Didn't Know,316,0.0,94,0,253291,64657606
813,Taylor Swift ,willow,135,15.0,1,(x6),3645354,64646281
814,NLE Choppa ,Shotta Flow (Feat. Blueface) [Remix],154,0.0,18,0,611587,64529726
815,Coldplay ,Hymn for the Weekend  Seeb Remix,201,0.0,28,0,481775,64502923
816,Bad Bunny ,LA NOCHE DE ANOCHE,208,1.0,5,0,993418,64450937
817,ZAYN ,Dusk Till Dawn,158,0.0,15,0,764030,64438774
818,Jason Aldean ,You Make It Easy,241,0.0,70,0,381990,64374823
819,Polo G ,Go Stupid,171,0.0,22,0,713664,64303528
820,Lil Yachty ,One Night,298,0.0,39,0,387261,64228675
821,Loud Luxury ,Body,179,0.0,22,0,674679,64219434
822,Marshmello ,Be Kind,172,0.0,13,0,1164780,64216454
823,Halsey ,Graveyard,155,0.0,12,0,1152883,64202847
824,Omarion ,Post to Be,341,0.0,16,0,384620,64187302
825,Lil Uzi Vert ,Just Wanna Rock,73,18.0,5,0,1030822,64099524
826,Bad Bunny ,La Corriente,172,0.0,14,0,1395658,63877667
827,Cheat Codes ,No Promises,230,0.0,50,0,478508,63729152
828,SZA ,The Weekend,265,0.0,75,0,310749,63699242
829,The Weeknd ,I Was Never There,185,5.0,5,0,2082119,63562499
830,Cardi B ,Be Careful,135,6.0,9,0,1175624,63512782
831,Drake ,Summer Sixteen,225,5.0,9,0,623803,63425374
832,BTS ,Butter,121,1.0,10,0,1917442,63425107
833,David Guetta ,2U,121,6.0,8,0,1014314,63383451
834,Quavo ,WORKIN ME,168,0.0,27,0,805382,63244762
835,The Lumineers ,Ophelia,370,0.0,43,0,344295,63226678
836,Maroon 5 ,Animals,323,78.0,2,(x13),357602,62902009
837,Kodak Black ,Calling My Spirit,161,0.0,27,0,690871,62881019
838,Daya ,Sit Still Look Pretty,262,0.0,53,0,314723,62564123
839,J. Cole ,G.O.M.D.,548,0.0,20,0,239212,62257754
840,Tears For Fears ,Everybody Wants To Rule The World,193,0.0,44,0,400855,62256647
841,Taylor Swift ,Delicate,198,0.0,20,0,835863,62239023
842,Cole Swindell ,She Had Me At Heads Carolina,179,0.0,33,0,476894,62230449
843,The Jackson 5 ,Santa Claus Is Coming To Town,132,0.0,16,0,1761495,62212319
844,Dean Martin ,Baby It's Cold Outside,160,0.0,27,0,1465503,62187665
845,Young Thug ,Hot (Remix),129,3.0,6,0,919980,62164819
846,Bad Bunny ,Vete,166,2.0,5,0,1196381,62061796
847,24kGoldn ,VALENTINO,183,0.0,41,0,482635,61991694
848,Marshmello ,Here With Me,158,0.0,15,0,802016,61927000
849,Yeat ,Monëy so big,180,0.0,25,0,464173,61764389
850,Kehlani ,Nights Like This,156,0.0,19,0,787196,61626885
851,Mariah Carey ,Christmas (Baby Please Come Home),152,0.0,31,0,1309666,61505577
852,Thomas Rhett ,Marry Me,212,0.0,52,0,446281,61358111
853,Logic ,Homicide,120,14.0,1,(x7),2720770,61353496
854,The Beach Boys ,Little Saint Nick  1991 Remix,142,0.0,16,0,2345032,61339064
855,YK Osiris ,Worth It,221,0.0,68,0,365266,61209429
856,CKay ,love nwantiti (ah ah ah),188,0.0,27,0,509139,61186051
857,DJ Khaled ,For Free,183,0.0,15,0,568776,61140237
858,DaBaby ,Goin Baby,214,0.0,59,0,404398,61101678
859,Trippie Redd ,Taking A Walk,170,1.0,6,0,1243239,61035074
860,21 Savage ,Mr. Right Now,147,15.0,2,(x1),2026968,61032599
861,NAV ,Tap,191,0.0,46,0,521319,61001749
862,Lizzo ,Juice,195,0.0,57,0,435950,60823106
863,Taylor Swift ,exile,133,15.0,2,(x4),3829002,60795539
864,Calvin Harris ,Rollin,138,0.0,14,0,805408,60647021
865,Snakehips ,All My Friends,258,0.0,36,0,401981,60593190
866,Clean Bandit ,Rather Be,393,0.0,11,0,290140,60562179
867,Harry Styles ,Matilda,142,14.0,3,(x4),2881699,60459436
868,Bryson Tiller ,Sorry Not Sorry,359,0.0,46,0,286638,60434896
869,Bad Bunny ,Un Ratito,154,3.0,9,0,1731264,60425066
870,Surf Mesa ,ily,186,0.0,46,0,468351,60238195
871,Selena Gomez ,Bad Liar,133,2.0,7,0,1149683,60028652
872,Tory Lanez ,LUV,196,0.0,14,0,664467,60001746
873,Bruno Mars ,Talking to the Moon,242,0.0,56,0,341216,59926571
874,Elley Duhé ,MIDDLE OF THE NIGHT,180,0.0,32,0,436972,59878312
875,Joel Adams ,Please Don't Go,182,0.0,29,0,463865,59849309
876,Nat King Cole ,Joy To The World,157,0.0,28,0,1465869,59827161
877,Charlie Puth ,Light Switch,180,2.0,6,0,859606,59716970
878,The Weeknd ,Reminder,245,7.0,9,0,895385,59620662
879,Calvin Harris ,How Deep Is Your Love,271,0.0,19,0,396175,59463594
880,Nirvana ,Smells Like Teen Spirit  Remastered,247,0.0,116,0,281143,59317872
881,Fifth Harmony ,Worth It,300,0.0,13,0,391863,59256843
882,Queen ,Don't Stop Me Now  Remastered,242,0.0,60,0,354346,59228501
883,Desiigner ,Tiimmy Turner,189,0.0,20,0,555851,59015382
884,Kodak Black ,Too Many Years,273,0.0,61,0,308283,59001162
885,Rihanna ,FourFiveSeconds,353,24.0,4,0,624581,58968144
886,Drake ,Childs Play,239,0.0,22,0,591382,58873542
887,Ed Sheeran ,Galway Girl,169,8.0,2,(x1),1192214,58839949
888,Ski Mask The Slump God ,Nuketown,147,0.0,13,0,990451,58800265
889,Beyoncé ,BREAK MY SOUL,115,15.0,2,(x2),1990829,58766150
890,The Weeknd ,Acquainted,407,0.0,13,0,437153,58655818
891,Lil Tjay ,Headshot,147,0.0,17,0,744087,58609240
892,Olivia Rodrigo ,enough for you,105,14.0,5,0,2366217,58572337
893,Meghan Trainor ,Like I'm Gonna Lose You,297,0.0,17,0,391599,58460209
894,Cardi B ,Please Me,131,1.0,10,0,1339719,58439781
895,Martin Garrix ,Scared to Be Lonely,153,0.0,17,0,617137,58399197
896,Noah Kahan ,Stick Season,168,0.0,33,0,484740,58383443
897,Silentó ,Watch Me (Whip / Nae Nae),242,22.0,8,0,475998,58353609
898,21 Savage ,Ghostface Killers,142,7.0,2,(x1),1268794,58263736
899,XXXTENTACION ,whoa (mind in awe),114,8.0,1,(x1),2064041,58262282
900,Lil Baby ,The Bigger Picture,130,14.0,3,(x3),1140438,58137365
901,Eminem ,River,121,7.0,2,(x4),1167659,58089002
902,Rod Wave ,Heart On Ice,211,0.0,48,0,424562,58076050
903,The Kid LAROI ,SO DONE,158,0.0,12,0,710839,58029449
904,Juice WRLD ,Black & White,242,0.0,24,0,686852,58028285
905,Trey Songz ,Slow Motion,367,0.0,16,0,366481,58002051
906,Rae Sremmurd ,Come Get Her,379,0.0,34,0,278853,57995873
907,Rae Sremmurd ,This Could Be Us,339,0.0,20,0,371328,57990446
908,Logic ,Everybody,212,0.0,17,0,902208,57990129
909,Post Malone ,Cooped Up,108,7.0,4,0,1692613,57988999
910,Lil Uzi Vert ,Erase Your Social,268,0.0,52,0,298133,57980501
911,Alec Benjamin ,Let Me Down Slowly,161,0.0,33,0,594243,57970760
912,Harry Styles ,Music For a Sushi Restaurant,114,14.0,3,(x3),3399921,57916775
913,Twenty One Pilots ,Tear in My Heart,477,0.0,53,0,176115,57900229
914,Dennis Lloyd ,Nevermind,177,0.0,31,0,618929,57848143
915,Miley Cyrus ,Malibu,144,9.0,7,0,1192630,57775138
916,Fifth Harmony ,All In My Head (Flex),160,0.0,23,0,523697,57664256
917,Taylor Swift ,ME!,158,0.0,19,0,1104555,57391669
918,Ariana Grande ,Love Me Harder,278,78.0,2,(x8),391481,57285175
919,Shawn Mendes ,In My Blood,141,2.0,5,0,1242334,57174877
920,Tainy ,Lo Siento BB:/,199,1.0,9,0,761684,57135915
921,Harry Styles ,Golden,201,1.0,6,0,1403497,57121273
922,The Weeknd ,After Hours,102,16.0,2,(x7),2309285,57062099
923,Social House ,Magic In The Hamptons,220,0.0,76,0,382674,57010632
924,Hailee Steinfeld ,Most Girls,209,0.0,51,0,478067,56922479
925,Pop Smoke ,Got It On Me,144,0.0,14,0,772282,56866811
926,KAROL G ,Tusa,159,0.0,34,0,621631,56824409
927,ERNEST ,Flower Shops,214,0.0,34,0,420148,56799282
928,Taylor Swift ,...Ready For It?,144,8.0,1,(x2),1597419,56613807
929,Lil Baby ,Freestyle,195,0.0,51,0,400272,56582499
930,R. City ,Locked Away,220,10.0,8,0,465664,56578381
931,NLE Choppa ,Shotta Flow,172,0.0,43,0,485102,56536653
932,Lil Wayne ,Uproar,134,6.0,3,(x1),3113147,56468238
933,GoldLink ,Crew,263,0.0,103,0,267875,56458549
934,The Weeknd ,In The Night,230,0.0,17,0,448766,56444533
935,Marshmello ,Leave Before You Love Me,170,0.0,43,0,449891,56427745
936,Sam Smith ,I'm Not The Only One,167,124.0,2,(x16),488205,56402815
937,Lil Wayne ,Mona Lisa,85,14.0,1,(x7),4444027,56354529
938,Taylor Swift ,Vigilante Sht,56,11.0,7,0,5696233,56313777
939,Steve Lacy ,Static,131,0.0,22,0,593606,56250712
940,Meek Mill ,All Eyes on You,258,0.0,11,0,448477,56247567
941,Harry Styles ,Sign of the Times,141,0.0,17,0,918584,56208852
942,Hailee Steinfeld ,Love Myself,227,0.0,14,0,424056,56086741
943,Kanye West ,Waves,252,0.0,14,0,587368,55997889
944,Shawn Mendes ,I Know What You Did Last Summer,178,0.0,12,0,500452,55906852
945,Young Stoner Life ,Solid,131,6.0,3,(x1),1643152,55875922
946,Charlie Puth ,How Long,163,0.0,36,0,552498,55860013
947,Post Malone ,Hollywood's Bleeding,102,14.0,4,0,3027413,55584164
948,6ix9ine ,KIKA,123,7.0,2,(x1),1616022,55520510
949,Future ,Wicked,218,0.0,32,0,407393,55381955
950,NAV ,Myself,265,0.0,90,0,278370,55379514
951,John Legend ,All of Me,478,0.0,28,0,247616,55369178
952,Cigarettes After Sex ,Apocalypse,170,0.0,42,0,402317,55292647
953,Megan Thee Stallion ,Sweetest Pie,169,6.0,2,(x1),936045,55276845
954,Daddy Yankee ,Con Calma,175,0.0,43,0,524382,55166149
955,Topic ,Breaking Me,176,0.0,46,0,436346,55109344
956,DaBaby ,Baby Sitter,182,0.0,55,0,414755,55095664
957,Katy Perry ,Never Really Over,126,1.0,10,0,1027556,55067804
958,Roddy Ricch ,Start Wit Me,148,0.0,41,0,571755,55018380
959,Saweetie ,My Type,175,0.0,43,0,465578,55014809
960,Tate McRae ,she's all i wanna be,163,1.0,10,0,716119,54992060
961,Tove Lo ,Talking Body,260,4.0,8,0,470463,54890193
962,Quavo ,HOTEL LOBBY (Unc & Phew),164,0.0,41,0,555956,54850356
963,Aminé ,REEL IT IN,160,0.0,37,0,554869,54739294
964,DJ Khaled ,GREECE,127,2.0,9,0,1081321,54717916
965,Taylor Swift ,august,146,7.0,6,0,2840040,54625767
966,Ariana Grande ,pov,119,11.0,6,0,1537730,54533829
967,Mike Perry ,The Ocean,166,0.0,35,0,451353,54469375
968,Megan Thee Stallion ,Girls in the Hood,182,0.0,23,0,576312,54466651
969,Baby Keem ,HONEST,151,0.0,30,0,447259,54102820
970,Alan Walker ,Faded,245,0.0,38,0,326390,54100218
971,DDG ,Moonwalking in Calabasas,177,0.0,36,0,495420,54093363
972,J. Cole ,She Knows,218,0.0,69,0,323664,54059288
973,Vundabar ,Alien Blues,172,0.0,27,0,461330,54041374
974,Billie Eilish ,all the good girls go to hell,151,5.0,3,(x1),1817790,53993006
975,Coldplay ,My Universe,165,1.0,8,0,946374,53947652
976,6ix9ine ,GOOBA,112,12.0,3,(x4),1512145,53917148
977,Childish Gambino ,3005,547,0.0,37,0,253876,53853351
978,Tee Grizzley ,From The D To The A,267,0.0,93,0,282746,53814866
979,Ariana Grande ,NASA,102,9.0,3,(x5),2947263,53660003
980,Post Malone ,Motley Crew,115,13.0,3,(x3),1695072,53597602
981,Bebe Rexha ,I'm a Mess,203,0.0,63,0,383316,53309228
982,The Chainsmokers ,Who Do You Love,160,0.0,28,0,796933,53239474
983,SZA ,Shirt,62,6.0,8,0,1930964,53203148
984,Maren Morris ,The Bones,187,0.0,51,0,470810,53108609
985,Drake ,10 Bands,329,12.0,5,0,536440,52875134
986,Tory Lanez ,Say It,283,0.0,33,0,321101,52744672
987,Jack Harlow ,Nail Tech,110,23.0,2,(x2),1135997,52488297
988,Juice WRLD ,Life's A Mess,114,14.0,3,(x1),3094307,52474709
989,6ix9ine ,GUMMO,174,0.0,48,0,519071,52433571
990,Drake ,Signs,122,7.0,7,0,1048149,52311258
991,YFN Lucci ,Everyday We Lit,245,0.0,95,0,253281,52259968
992,Dua Lipa ,We're Good,154,1.0,10,0,695072,52250269
993,Megan Thee Stallion ,Cry Baby,158,0.0,32,0,552142,51989339
994,Lil Baby ,Close Friends (Lil Baby & Gunna),200,0.0,41,0,632381,51946627
995,Tai Verdes ,AOK,167,0.0,35,0,451540,51926588
996,Ed Sheeran ,Don't,328,0.0,15,0,245898,51816937
997,Lil Nas X ,Rodeo,104,10.0,7,0,1196792,51788566
998,YoungBoy Never Broke Again ,Outside Today,189,0.0,74,0,427688,51700652
999,Taylor Swift ,Question...?,49,7.0,8,0,5519609,51647553
1000,Bad Bunny ,Safaera,151,0.0,30,0,769149,51612770
1001,Harry Styles ,Daylight,113,13.0,5,0,2833429,51560617
